perturbation,suite,source_id,task_description,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
object,libero_10,object/libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.bddl,put both the alphabet soup and the cream cheese box in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,27.599360760999843,27.665323321009055,27.94225593106821,29.421118417517278,0.3842406016806813
swap(position),libero_10,swap(position)/libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.bddl,turn on the stove and put the moka pot on it,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,26.615314670372754,26.663503208095207,26.923496800381688,27.10010148956906,0.37032643344576677
swap(position),libero_10,swap(position)/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.bddl,put the black bowl in the bottom drawer of the cabinet and close it,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,28.066918758908287,28.102956795385108,28.670592561736704,28.99644898674451,0.3903188443803487
swap(position),libero_10,swap(position)/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.bddl,put the yellow and white mug in the microwave and close it,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,27.821326897479594,27.915631480673326,28.507223214861007,28.92536562955938,0.38771710389824066
swap(position),libero_10,swap(position)/libero_10/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove.bddl,put both moka pots on the stove,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,27.399609793908894,27.397685526153072,27.882717367215083,28.06614903387148,0.38052341008545937
swap(position),libero_10,swap(position)/libero_10/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.bddl,put both the alphabet soup and the cream cheese box in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,28.307980098063126,28.41625245243311,29.24639454074204,30.172575102467093,0.39467017295045986
swap(position),libero_10,swap(position)/libero_10/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,put both the alphabet soup and the tomato sauce in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,30.999908313853666,30.92616255355999,31.70134861012921,32.43667424040381,0.42953003546611096
swap(position),libero_10,swap(position)/libero_10/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate.bddl,put the white mug on the left plate and put the yellow and white mug on the right plate,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,29.85490839648992,29.970474079521374,30.502998703345657,31.68437747063581,0.41625658443779684
swap(position),libero_goal,swap(position)/libero_goal/open_the_middle_drawer_of_the_cabinet.bddl,Open the middle layer of the drawer,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,300.0,50,17.39286808623001,16.839876562403514,17.874215473001822,18.091617813240738,0.2338871744778266
swap(position),libero_goal,swap(position)/libero_goal/push_the_plate_to_the_front_of_the_stove.bddl,Push the plate to the front of the stove,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,300.0,50,17.603639690903947,17.271081776237114,17.99967320119031,18.210864626797846,0.23987613578107103
swap(position),libero_goal,swap(position)/libero_goal/put_the_bowl_on_top_of_the_cabinet.bddl,Put the bowl on the top of the drawer,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,300.0,50,18.008706552674994,17.838125160606577,18.391071293922142,18.547980603817848,0.24775173834175804
swap(position),libero_goal,swap(position)/libero_goal/put_the_cream_cheese_in_the_bowl.bddl,Put the cream cheese on the bowl,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,300.0,50,17.607379481196404,17.54868298890069,17.834340505208818,18.19584378692787,0.24373170817917628
swap(position),libero_goal,swap(position)/libero_goal/put_the_wine_bottle_on_the_rack.bddl,Put the wine bottle on the rack,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,300.0,50,17.41505488893017,17.324100146824495,17.69451002231799,17.906015873295253,0.24061250203922907
swap(position),libero_goal,swap(position)/libero_goal/put_the_wine_bottle_on_top_of_the_cabinet.bddl,Put the wine bottle on the top of the drawer,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,300.0,50,18.240742108551785,18.09451291307807,18.98924853722565,19.41832425821107,0.25131267934830653
swap(position),libero_object,swap(position)/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket.bddl,Pick the ketchup and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,15.85939148068428,15.820412758588791,16.049591148365288,16.195340289715677,0.21972795498039988
swap(position),libero_object,swap(position)/libero_object/pick_up_the_milk_and_place_it_in_the_basket.bddl,Pick the milk and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,15.627592471195385,15.646822437653318,15.805217010714115,15.932646266096272,0.21731697830074054
swap(position),libero_object,swap(position)/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket.bddl,Pick the salad dressing and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,16.045931431930512,16.10833722548559,16.408030648436398,16.639345028479582,0.22372690590952213
swap(position),libero_object,swap(position)/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket.bddl,Pick the tomato sauce and place it in the basket,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,280.0,50,15.925884226104245,15.888278362043202,16.026752557232975,16.06760112619493,0.2206705328061556
swap(position),libero_spatial,swap(position)/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate.bddl,Pick the akita black bowl next to the cookies box and place it on the plate,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,220.0,50,15.681645575445145,15.703693211087957,15.936955738067626,16.040277748000808,0.21810685015399942
swap(position),libero_spatial,swap(position)/libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate.bddl,Pick the akita black bowl on the cookies box and place it on the plate,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,220.0,50,15.453067110851407,15.46036757517606,15.634259623289108,15.914498546416871,0.21472732743300083
swap(position),libero_spatial,swap(position)/libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate.bddl,Pick the akita black bowl on the wooden cabinet and place it on the plate,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,220.0,50,15.609694972634315,15.59874561669305,15.781104889465496,15.927604196397589,0.21664924467629235
task,libero_10,task/libero_10/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.bddl,turn on the stove and put the pan on it,50,0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,,520.0,50,26.58115181257017,26.598194183204324,26.892152925860138,26.994544071531855,0.3694193636556156
